date,ch4prod,ch4ep,ch4ebl
2022-06-03,0.1852642253626842,,
2022-06-10,0.09048930957282274,,
2022-06-17,0.21507271005135672,,
2022-06-22,0.3827170424798417,,
2022-06-24,0.37960246424845806,,
2022-06-29,0.44209330488996934,,
2022-07-01,0.4141308648512053,,
2022-07-05,0.47196104344503936,,
2022-07-08,0.48236254527671785,,
2022-07-12,0.4876496306219818,,
2022-07-15,0.4373039677695845,,
2022-07-19,0.3879521820734716,,
2022-07-22,0.383754390635094,,
2022-07-26,0.3879521820734716,,
2022-08-01,0.461785593440506,,
2022-08-04,0.4876496306219818,,
2022-08-05,0.7303412354284765,,
2022-08-09,0.47196104344503936,,
2022-08-12,0.40964704523401996,,
2022-08-16,0.4518312825659534,,
2022-08-19,0.39648739233072655,,
2022-08-23,0.4232476453654536,,
2022-08-26,0.34421814856614613,,
